"number","short_description","description","urgency","impact","category","assignment_group","resolution"
"INC00469","Access Rights Restriction","Merchant reported being unable to e-sign the Merchant Agreement due to an access permission error in the UI, halting the onboarding process.",3,1,"Software","IT Support","Development team identified a bug in the service configuration module that was blocking the setup. A code fix was deployed, allowing Sales Agent to configure services for the additional location."
"INC00153","Merchant data displaying incorrectly","During the data upload process for a new merchant, the API endpoint consistently returns a 500 error, preventing sales agents from successfully onboarding the merchant.",1,2,"Hardware","Network Ops","Rectified the issue by performing a data refresh to fetch and display the accurate merchant information in the Sales UI."
"INC00211","Touchscreen malfunction on Merchant's device for e-signing","Merchants facing frequent network timeout errors while submitting data, leading to delays in onboarding process.",2,2,"Software","IT Support","Development team identified a bug in the service configuration module that was blocking the setup. A code fix was deployed, allowing Sales Agent to configure services for the additional location."
"INC00494","Error in Equipment Configuration","Sales Agent encountered an error when trying to onboard an additional location for merchant ID 12345. The system displayed a 'Duplicate Location' error message.",2,3,"Software","IT Support","Resolved by clearing the browser cache and reloading the Customer UI. PDF now loads successfully."
"INC00296","Equipment Configuration Freeze on Legacy Browser","An issue arose where fees were calculated inaccurately for a specific equipment bundle, leading to potential financial discrepancies; Sales Agent and Merchant affected.",2,3,"Network","IT Support","A bug in the equipment selection module was identified and fixed by the development team. Sales Agent was instructed to reselect the equipment and verify successful saving."
"INC00155","Merchant unable to submit e-signed agreement","A Sales Agent's access to configure service fees for a merchant is restricted erroneously, preventing them from finalizing the onboarding process. Merchant onboarding delayed.",3,2,"Software","IT Support","Backend developers investigated the issue and resolved the database conflict causing the duplication error. Sales Agent successfully continued with setting up the new location."
"INC00414","Equipment selection not saved for new location","During the onboarding process for an additional location, the Sales Agent received an error message stating 'Location already exists' even though it's a new location being added. This issue caused confusion and delays in completing the merchant setup.",2,2,"Software","IT Support","Investigated API logs, identified a server-side issue causing data retrieval failures. Applied a patch to the API server to resolve the issue."
"INC00379","PDF not loading for Merchant Agreement review","Upon successful login, the Merchant encounters a blank screen instead of the expected Merchant Agreement review interface.",2,2,"Software","IT Support","Advised Sales Agent to switch to a supported browser. Unfroze the session, verified data integrity, and recommended browser upgrade for future stability."
"INC00176","Error message 'Invalid Signature' when attempting to e-sign Agreement","Sales Agent encountered an issue where a specific POS terminal model, 'ABC-2000', could not be selected while configuring equipment for a merchant.",2,2,"Network","IT Support","Reviewed and adjusted the permission settings for the Merchant UI, allowing the merchant to successfully e-sign the agreement and proceed with onboarding."
"INC00161","Intermittent connection issues while configuring services","After configuring fees and services for a new merchant location, Sales Agent noticed that the changes were not reflecting in the system. This discrepancy caused delays in finalizing the onboarding process.",1,1,"Access","IT Support","The network timeout issue was addressed by optimizing network settings and increasing timeout thresholds, allowing Sales Agents to successfully complete the equipment selection process without further interruptions."
"INC00099","Access permission error preventing merchant fee configuration","Merchants are experiencing network timeouts when trying to retrieve and e-sign the Merchant Agreement PDF. This is causing delays in the onboarding process as merchants are unable to proceed.",3,1,"Software","IT Support","Investigated the issue and found a misconfiguration in the equipment database linkage. Corrected the configuration, and now Sales Agents can see and select equipment options as intended."
"INC00482","Equipment selection not saving for new merchant location","Sales Agent notices that the merchant data inputted is not displaying correctly in the Sales UI, hindering the completion of the onboarding process.",3,3,"Access","IT Support","Investigated and resolved the issue by fixing a backend database synchronization error that was preventing configuration saves."
"INC00361","Fee configuration not reflecting for additional location","Merchants are experiencing network timeouts when trying to retrieve and e-sign the Merchant Agreement PDF. This is causing delays in the onboarding process as merchants are unable to proceed.",1,3,"Software","Network Ops","Collaborated with the hardware vendor to troubleshoot the integration problem, resulting in successful configuration of the payment terminal for seamless merchant transactions."
"INC00174","Merchant ID not recognized for additional location","Sales Agent noticed that any changes made to fees/services configurations for a merchant are not saving properly in the system.",2,2,"Network","Network Ops","The network team identified a routing issue causing the intermittent connections and resolved it by optimizing the network configuration to ensure stable and uninterrupted service."
"INC00438","Hardware malfunction affecting equipment selection for merchants","Sales Agent encountered a hardware compatibility issue while configuring fees for a merchant, leading to incorrect fee settings.",2,3,"Access","Network Ops","Reviewed and adjusted file permission settings for the Merchant Agreement PDF, granting appropriate access to merchants for e-signing. Ensured merchants could view and sign the agreement without further issues."
"INC00479","Equipment selection not saved for new location","Merchant facing difficulties in submitting the e-signed Merchant Agreement through the UI, hindering the onboarding process.",1,1,"Hardware","IT Support","Adjusted Sales Agent's access rights to correctly configure service fees for merchants. Resumed the onboarding process for the affected merchant."
"INC00024","Intermittent Connectivity Issue During Equipment Selection","Sales Agent encountered an error when trying to onboard an additional location for merchant ID 12345. The system displayed a 'Duplicate Location' error message.",3,3,"Access","IT Support","The access issue was traced back to a permission setting error and was resolved by adjusting the agent's role permissions to grant access to the required module."
"INC00123","Error message 'Invalid Signature' when attempting to e-sign Agreement","After configuring fees and services for a new merchant location, Sales Agent noticed that the changes were not reflecting in the system. This discrepancy caused delays in finalizing the onboarding process.",3,1,"Access","IT Support","The network timeout issue was addressed by optimizing network settings and increasing timeout thresholds, allowing Sales Agents to successfully complete the equipment selection process without further interruptions."
"INC00331","API endpoint returning 500 error for merchant data upload","Merchant experiencing issues with loading the Merchant Agreement PDF for review and e-signing.",2,2,"Software","IT Support","Reviewed and adjusted the permission settings for the Merchant UI, allowing the merchant to successfully e-sign the agreement and proceed with onboarding."
"INC00137","Fee Calculation Bug","Sales Agent reported inability to retrieve merchant information through the REST API, impacting onboarding process.",2,2,"Software","IT Support","The network team identified a routing issue causing the intermittent connections and resolved it by optimizing the network configuration to ensure stable and uninterrupted service."
"INC00488","Equipment selection not saved for new location","Merchant experiencing issues with loading the Merchant Agreement PDF for review and e-signing.",2,3,"Hardware","IT Support","Identified a configuration error in the API authentication settings, which was corrected to restore data retrieval functionality."
"INC00020","Sales Agent unable to access fee configuration module","A Sales Agent's access to configure service fees for a merchant is restricted erroneously, preventing them from finalizing the onboarding process. Merchant onboarding delayed.",1,1,"Access","IT Support","Investigated and resolved the issue by fixing a backend database synchronization error that was preventing configuration saves."
"INC00216","API endpoint returning 500 error for merchant creation","While trying to onboard an additional location for an existing merchant ID, the Sales Agent encountered a hardware issue with the POS terminal, preventing the configuration process. This affected the Sales Agent's ability to complete the onboarding for the merchant.",3,1,"Hardware","IT Support","Access permissions for the Sales Agent role were reviewed and corrected to ensure proper access to the fee configuration page, enabling seamless configuration of fees for merchant accounts."
"INC00406","Equipment selection dropdown not populating for new location","Merchants encountered an access permission error while trying to upload and e-sign the Merchant Agreement PDF, preventing them from progressing to the processing stage and delaying onboarding completion.",2,1,"Network","IT Support","Analyzed server logs to pinpoint the root cause of the intermittent 500 errors. Identified and resolved a database connectivity issue, stabilizing API calls and ensuring consistent data submission."
"INC00495","Sales Agent unable to access fee configuration page","Sales Agent encounters an issue where equipment selection dropdown menu is unresponsive for a specific merchant profile.",2,1,"Network","IT Support","Investigated and corrected a database synchronization error, ensuring all merchant data is now saving accurately in the system."
"INC00372","Network timeout during merchant equipment selection","Sales Agent encountered a hardware compatibility issue while configuring fees for a merchant, leading to incorrect fee settings.",3,3,"Software","Network Ops","A backend synchronization issue was identified and resolved by initiating a manual sync process. Sales Agent confirmed that the fees and services configurations were now accurately displayed."
"INC00263","Unable to retrieve merchant data via API","During the onboarding process for a new merchant location, Sales Agent selected equipment options but encountered a system issue where the selections were not being saved despite multiple attempts.",2,2,"Software","Network Ops","Discovered a backend API communication issue preventing data transfer. Resolved the API connection problem, allowing merchant data to flow seamlessly to the Processing stage for further processing."
"INC00467","Inability to configure services for additional location","After a merchant e-signs the agreement, their data is not transitioning to the PROCESSING stage as expected. This is causing delays in the onboarding process and preventing further actions.",1,1,"Software","IT Support","The issue was resolved by updating the service fee calculation logic to correctly reflect and display the configured fees on the summary page, ensuring transparency and accuracy in the fee breakdown presented to merchants."
"INC00253","Inability to submit Merchant Agreement for e-signature","Certain sales agents are facing an access permission error that is blocking them from configuring fees and services for specific merchants. This issue is hindering the customization of service offerings.",2,1,"Software","IT Support","Investigated and optimized network routing for the equipment selection module, resolving the timeouts and improving system responsiveness."
"INC00396","PDF agreement not loading for Merchant","Sales Agent received a duplicate merchant ID error message when attempting to add a new location for an existing merchant ID. This prevented the agent from successfully completing the onboarding process.",3,3,"Access","IT Support","Advised Sales Agent to switch to a supported browser. Unfroze the session, verified data integrity, and recommended browser upgrade for future stability."
"INC00048","Merchant UI not responsive for e-signature","While trying to onboard an additional location for an existing merchant ID, the Sales Agent encountered a hardware issue with the POS terminal, preventing the configuration process. This affected the Sales Agent's ability to complete the onboarding for the merchant.",2,2,"Access","IT Support","Investigated server-side PDF rendering issue and implemented a fix to ensure proper loading for all users."
"INC00179","PDF not loading for Merchant Agreement review","Sales Agent reports that configured fees and services for a new merchant are not saving upon submission, leading to incorrect pricing in the agreement.",2,1,"Software","IT Support","Identified a database inconsistency causing the false error message. Resolved the issue by correcting the location mapping in the database, allowing the Sales Agent to proceed with adding the new location."
"INC00291","Fees/services configuration missing for new location","New Sales Agent reported inability to configure fees/services due to access denial, hindering merchant onboarding process; Sales Agent affected.",3,1,"Network","IT Support","Reviewed and adjusted the permission settings for the Merchant UI, allowing the merchant to successfully e-sign the agreement and proceed with onboarding."
"INC00091","Intermittent network connectivity affecting agreement review","An error in the system caused incorrect fees to be applied to a merchant's account, resulting in financial discrepancies and potential loss of trust.",2,1,"Software","IT Support","The database was checked for any existing duplicate merchant IDs. The system was updated to include a validation check to prevent the reoccurrence of duplicate IDs during onboarding."
"INC00173","Touchscreen malfunction on Merchant's device for e-signing","A Merchant is unable to e-sign the agreement as they are encountering a login error when trying to access the Customer UI, leading to a delay in the onboarding process.",2,1,"Software","Network Ops","Conducted network diagnostics, discovered a bottleneck in the network infrastructure. Implemented QoS settings to prioritize data submission traffic and alleviate timeouts."
"INC00046","Hardware compatibility issue with fee calculation module","During the data upload process for a new merchant, the API endpoint consistently returns a 500 error, preventing sales agents from successfully onboarding the merchant.",3,2,"Network","IT Support","Identified a font rendering issue in the PDF viewer plugin. Updated the plugin to the latest version, resolving the text display problem."
"INC00390","Merchant data not displaying in Sales UI","An issue arose where fees were calculated inaccurately for a specific equipment bundle, leading to potential financial discrepancies; Sales Agent and Merchant affected.",1,3,"Software","Network Ops","Assisted the Merchant in resetting their password and provided guidance on securely accessing the UI, allowing them to successfully e-sign the agreement."
"INC00456","Equipment selection dropdown not populating","A Merchant is unable to e-sign the agreement as they are encountering a login error when trying to access the Customer UI, leading to a delay in the onboarding process.",2,3,"Access","IT Support","Database records were checked and it was found that the location already existed under a different ID. Sales Agent was advised to update the existing location instead."
"INC00312","Merchant UI displaying blank screen post-login","A Sales Agent is unable to access the fee configuration page in the Merchant Onboarding Application, hindering the ability to set up customized fees for a new merchant account.",2,1,"Hardware","IT Support","Rectified the issue by performing a data refresh to fetch and display the accurate merchant information in the Sales UI."
"INC00197","Error saving merchant data in Sales UI","Merchants facing frequent network timeout errors while submitting data, leading to delays in onboarding process.",2,1,"Software","IT Support","IT support granted the necessary access permissions to the affected sales agents, allowing them to successfully configure fees and services for the merchants without encountering any further permission errors."
"INC00138","Sales Agent unable to access fee configuration module","Sales Agent encountered an issue where they were unable to select any equipment options while onboarding a new merchant.",1,1,"Software","Network Ops","Identified a database inconsistency causing the false error message. Resolved the issue by correcting the location mapping in the database, allowing the Sales Agent to proceed with adding the new location."
"INC00198","Intermittent network connectivity affecting agreement review","During the onboarding process for an additional location, the Sales Agent received an error message stating 'Location already exists' even though it's a new location being added. This issue caused confusion and delays in completing the merchant setup.",2,3,"Hardware","IT Support","Investigated the issue and found a misconfiguration in the equipment database linkage. Corrected the configuration, and now Sales Agents can see and select equipment options as intended."
"INC00400","Login credentials not working for merchant","Merchants encounter session timeout errors while trying to e-sign the Merchant Agreement in the Customer UI, leading to unsuccessful e-signature submission.",2,2,"Access","IT Support","Resolved the issue by providing the Merchant with instructions to disable the touchscreen functionality temporarily and use an external mouse for e-signing the agreement successfully."
"INC00358","Unable to select specific POS terminal model","Sales Agent raised a concern that the merchant data being displayed in the Sales UI is showing incorrect information not matching the actual details provided.",2,3,"Software","IT Support","Replaced the malfunctioning hardware component on the Sales Agent's device, ensuring seamless continuation of the merchant data input process."
"INC00081","Equipment Compatibility Issue","A Sales Agent's access to configure service fees for a merchant is restricted erroneously, preventing them from finalizing the onboarding process. Merchant onboarding delayed.",2,1,"Software","IT Support","Adjusted session timeout settings to allow for a longer duration. Instructed merchants to refresh the page and re-sign the agreement successfully."
"INC00403","PDF not loading for merchant agreement review","Sales Agent using a legacy browser experienced a freeze while configuring equipment, leading to incomplete data entry; Sales Agent affected.",1,1,"Software","IT Support","Investigated and fixed the issue by updating the UI application, ensuring that upon login, the Merchant now correctly sees the agreement for review without encountering a blank screen."
"INC00008","Merchant UI not responsive for e-signature","Sales Agent encountered an error while configuring POS terminals for a merchant, leading to incorrect settings. Merchant transactions are impacted.",2,2,"Network","IT Support","A bug in the equipment selection module was identified and fixed by the development team. The Sales Agent was able to reselect equipment for the new location successfully."
"INC00106","Inability to submit Merchant Agreement for e-signature","Sales Agent reported that the system did not recognize the merchant ID when trying to onboard an additional location. This led to a mismatch in data and prevented the new location from being linked to the correct merchant.",2,1,"Network","IT Support","User permissions for the Sales Agent were reviewed and updated to ensure proper access to merchant data. The system cache was cleared to reflect the correct merchant ID for the new location."
"INC00418","Error in calculating processing fees for a merchant","A Sales Agent reported being unable to access the merchant equipment selection options within the Sales UI, hindering the configuration of new merchant accounts.",2,1,"Hardware","IT Support","Access permissions were reassigned to the Sales Agent's role after a review, allowing seamless fee configuration."
"INC00499","Access Rights Restriction","When a merchant attempts to e-sign the agreement in the Customer UI, the interface becomes unresponsive, preventing completion of the signing process.",3,1,"Software","Network Ops","Identified a permission issue specific to the Sales Agent's account and provided the necessary access rights, allowing seamless equipment selection for merchant onboarding."
"INC00031","Merchant UI not responsive for e-signature","Merchants report that the content of the Merchant Agreement PDF appears distorted and unreadable when accessed for review and e-signature.",2,3,"Hardware","IT Support","Access permissions for the Sales Agent role were reviewed and corrected to ensure proper access to the fee configuration page, enabling seamless configuration of fees for merchant accounts."
"INC00016","Error message 'Invalid Signature' when attempting to e-sign Agreement","Sales Agent faced intermittent network disconnections during equipment selection, causing data loss and frustration; Sales Agent affected.",1,2,"Software","Network Ops","A backend synchronization issue was identified and resolved by initiating a manual sync process. Sales Agent confirmed that the fees and services configurations were now accurately displayed."
"INC00320","API endpoint returning 500 error for merchant creation","A merchant encounters an error when trying to electronically sign the Merchant Agreement in the Customer UI.",2,2,"Hardware","IT Support","Traced the issue to a synchronization problem between the Sales UI and the agreement generation module. Conducted a data sync and patch to ensure that configured fees and services now correctly appear in the final agreement."
"INC00292","Error message 'Invalid Signature' when attempting to e-sign Agreement","When a merchant attempts to e-sign the agreement in the Customer UI, the interface becomes unresponsive, preventing completion of the signing process.",2,2,"Software","IT Support","Identified and fixed the software bug causing incorrect fee calculations. Issued refunds to affected merchants and verified correct fee application."
